metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
http_reqs,1650704674,1.000000,,,,true,::Trucks API,GET,http://localhost:8080/trucks/37.7758/-122.4205,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/37.7758/-122.4205,
http_req_duration,1650704674,1.164251,,,,true,::Trucks API,GET,http://localhost:8080/trucks/37.7758/-122.4205,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/37.7758/-122.4205,
http_req_blocked,1650704674,0.388212,,,,true,::Trucks API,GET,http://localhost:8080/trucks/37.7758/-122.4205,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/37.7758/-122.4205,
http_req_connecting,1650704674,0.222491,,,,true,::Trucks API,GET,http://localhost:8080/trucks/37.7758/-122.4205,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/37.7758/-122.4205,
http_req_tls_handshaking,1650704674,0.000000,,,,true,::Trucks API,GET,http://localhost:8080/trucks/37.7758/-122.4205,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/37.7758/-122.4205,
http_req_sending,1650704674,0.063632,,,,true,::Trucks API,GET,http://localhost:8080/trucks/37.7758/-122.4205,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/37.7758/-122.4205,
http_req_waiting,1650704674,1.008245,,,,true,::Trucks API,GET,http://localhost:8080/trucks/37.7758/-122.4205,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/37.7758/-122.4205,
http_req_receiving,1650704674,0.092374,,,,true,::Trucks API,GET,http://localhost:8080/trucks/37.7758/-122.4205,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/37.7758/-122.4205,
http_req_failed,1650704674,0.000000,,,,true,::Trucks API,GET,http://localhost:8080/trucks/37.7758/-122.4205,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/37.7758/-122.4205,
checks,1650704674,1.000000,getTrucksSanFran_returns_200,,,,::Trucks API,,,,default,,,,,,
checks,1650704674,1.000000,getTrucksSanFran_five_results,,,,::Trucks API,,,,default,,,,,,
getTrucksSanFran,1650704674,1.164251,,,,,::Trucks API,,,,default,,,,,,
http_reqs,1650704674,1.000000,,,,true,::Trucks API,GET,http://localhost:8080/trucks/51.403278/0.056169,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/51.403278/0.056169,
http_req_duration,1650704674,9.394161,,,,true,::Trucks API,GET,http://localhost:8080/trucks/51.403278/0.056169,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/51.403278/0.056169,
http_req_blocked,1650704674,0.004618,,,,true,::Trucks API,GET,http://localhost:8080/trucks/51.403278/0.056169,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/51.403278/0.056169,
http_req_connecting,1650704674,0.000000,,,,true,::Trucks API,GET,http://localhost:8080/trucks/51.403278/0.056169,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/51.403278/0.056169,
http_req_tls_handshaking,1650704674,0.000000,,,,true,::Trucks API,GET,http://localhost:8080/trucks/51.403278/0.056169,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/51.403278/0.056169,
http_req_sending,1650704674,0.074792,,,,true,::Trucks API,GET,http://localhost:8080/trucks/51.403278/0.056169,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/51.403278/0.056169,
http_req_waiting,1650704674,8.980490,,,,true,::Trucks API,GET,http://localhost:8080/trucks/51.403278/0.056169,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/51.403278/0.056169,
http_req_receiving,1650704674,0.338879,,,,true,::Trucks API,GET,http://localhost:8080/trucks/51.403278/0.056169,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/51.403278/0.056169,
http_req_failed,1650704674,0.000000,,,,true,::Trucks API,GET,http://localhost:8080/trucks/51.403278/0.056169,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/51.403278/0.056169,
checks,1650704674,1.000000,getTrucksLondon_returns_200,,,,::Trucks API,,,,default,,,,,,
checks,1650704674,1.000000,getTrucksLondon_five_results,,,,::Trucks API,,,,default,,,,,,
getTrucksLondon,1650704674,9.394161,,,,,::Trucks API,,,,default,,,,,,
http_reqs,1650704674,1.000000,,,,true,::Trucks API,GET,http://localhost:8080/trucks/37.7758/-122.4205?radius=400,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/37.7758/-122.4205?radius=400,
http_req_duration,1650704674,1.224779,,,,true,::Trucks API,GET,http://localhost:8080/trucks/37.7758/-122.4205?radius=400,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/37.7758/-122.4205?radius=400,
http_req_blocked,1650704674,0.004507,,,,true,::Trucks API,GET,http://localhost:8080/trucks/37.7758/-122.4205?radius=400,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/37.7758/-122.4205?radius=400,
http_req_connecting,1650704674,0.000000,,,,true,::Trucks API,GET,http://localhost:8080/trucks/37.7758/-122.4205?radius=400,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/37.7758/-122.4205?radius=400,
http_req_tls_handshaking,1650704674,0.000000,,,,true,::Trucks API,GET,http://localhost:8080/trucks/37.7758/-122.4205?radius=400,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/37.7758/-122.4205?radius=400,
http_req_sending,1650704674,0.073372,,,,true,::Trucks API,GET,http://localhost:8080/trucks/37.7758/-122.4205?radius=400,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/37.7758/-122.4205?radius=400,
http_req_waiting,1650704674,1.032445,,,,true,::Trucks API,GET,http://localhost:8080/trucks/37.7758/-122.4205?radius=400,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/37.7758/-122.4205?radius=400,
http_req_receiving,1650704674,0.118962,,,,true,::Trucks API,GET,http://localhost:8080/trucks/37.7758/-122.4205?radius=400,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/37.7758/-122.4205?radius=400,
http_req_failed,1650704674,0.000000,,,,true,::Trucks API,GET,http://localhost:8080/trucks/37.7758/-122.4205?radius=400,HTTP/1.1,default,,200,,,http://localhost:8080/trucks/37.7758/-122.4205?radius=400,
checks,1650704674,1.000000,getTrucksRadius_returns_200,,,,::Trucks API,,,,default,,,,,,
checks,1650704674,1.000000,getTrucksRadius_has_results,,,,::Trucks API,,,,default,,,,,,
getTrucksRadius,1650704674,1.224779,,,,,::Trucks API,,,,default,,,,,,
group_duration,1650704674,317.192175,,,,,::Trucks API,,,,default,,,,,,
data_sent,1650704674,324.000000,,,,,,,,,default,,,,,,
data_received,1650704674,161527.000000,,,,,,,,,default,,,,,,
iteration_duration,1650704674,317.285922,,,,,,,,,default,,,,,,
iterations,1650704674,1.000000,,,,,,,,,default,,,,,,
